macrocode,macrorregiao,mpib20092013,mpib20142018,med_por1000_20092013,med_por1000_20142018,mpsaude20092013,mpsaude20142018,mpobres2010,mtmi2010,mtanalfa2010,mgini2010,mexpobres2010,mitheill2010,mitheilrt2010,maguaesgruim2010,msemeletric2010,midh2010,midh_edu2010,midh_long2010,midh_renda2010,om_tot,nvtot,pop_tot,tbn,c,rmm,rmmest
3208,"CENTRAL",23315.7,28181.2,1.40565,1.34593,21.5518,20.4708,10.8733,14.4626,10.3222,.51033,3.37929,.467895,.390584,1.26003,.181764,.71865,.632609,.829142,.70795,25,45323,3.2e+06,1.42542,25.74608,55.15963,56.80577
3310,"MACRORREGIAO III",59039.5,49804.7,1.79889,1.67653,21.5646,19.4983,10.0973,14.9628,7.10189,.525294,2.81399,.498413,.392974,3.62183,.141308,.723342,.634294,.82364,.72529,91,147162,1.0e+07,1.43561,68.60603,61.83662,46.6194
3311,"MACRORREGIAO II",26999.4,39254.4,2.35472,2.11688,37.9711,32.4687,6.64393,13.824,3.79657,.546095,1.84694,.564083,.426794,1.47764,.059418,.76226,.682707,.836859,.777043,639,886996,6.7e+07,1.325581,453.3022,72.04091,51.10532
3312,"MACRORREGIAO I",32555.8,41218.6,2.11898,1.95845,26.6716,22.2139,7.62471,14.6477,5.17731,.500454,2.02408,.448608,.361417,.857838,.222446,.734143,.656934,.826331,.729711,59,99559,7.6e+06,1.316587,48.98016,59.26134,49.19712
3518,"RRAS9",22225.4,30783.6,1.69542,1.69014,24.6873,21.423,4.29844,12.8893,5.56185,.475004,1.04136,.40824,.334738,.379583,.188357,.762047,.695993,.849948,.74908,57,110133,8.8e+06,1.253644,57.38757,51.7556,52.10751
3519,"RRAS8",26925.1,36527.4,1.34494,1.2557,28.8954,26.0701,6.59222,14.2317,5.18983,.487328,1.75917,.428256,.349802,1.0516,.187383,.756507,.701308,.838266,.737883,85,169402,1.2e+07,1.378235,85.39573,50.1765,50.41011
3520,"RRAS7",23476.2,32300.7,1.76296,1.68048,36.1516,30.6385,7.2411,14.1143,4.79491,.502023,2.04377,.460573,.346645,1.14336,.312152,.766585,.710749,.844521,.751695,117,141139,1.0e+07,1.346081,75.75392,82.897,53.67327
3521,"RRAS6",43353.2,56043.2,2.75359,2.64942,55.1841,44.7691,4.27,13.15,3.18,.62,.92,.72,.55,.47,.03,805,725,855,843,452,960427,6.0e+07,1.597969,491.6322,47.0624,51.18892
3522,"RRAS5",55488.3,80025.6,2.00636,1.77448,43.6531,38.2096,5.63473,13.4036,4.12002,.521933,1.67181,.504194,.381334,.913125,.04713,.767716,.705881,.846211,.758846,42,130200,9.2e+06,1.408342,43.80086,32.25806,33.64121
3523,"RRAS4",23574.1,33249.8,1.24565,.965608,29.7715,24.5829,6.15709,12.6701,4.95706,.486217,1.70175,.427633,.319962,1.38469,.115266,.755236,.694233,.84942,.731086,36,71413,5.6e+06,1.286235,34.76939,50.41099,48.68776
3524,"RRAS3",23427.8,38672.3,1.34771,1.17727,28.9423,24.601,7.1571,13.933,5.67016,.450606,2.0171,.367335,.26856,2.13526,.16041,.739545,.680315,.841797,.707048,23,37206,2.9e+06,1.275203,17.29935,61.81799,46.49614
3525,"RRAS2",26014.7,34921.5,1.4916,1.26699,35.136,28.7044,7.35957,13.4878,4.55646,.490883,2.07264,.439481,.333231,.945022,.147795,.758006,.711451,.840933,.728545,139,199547,1.5e+07,1.359988,101.4769,69.65778,50.85365
3526,"RRAS17",31200.4,42929.1,1.84468,1.70317,35.7405,28.4012,5.67234,12.6157,4.01696,.521683,1.40156,.487452,.395349,.788004,.237646,.780252,.731301,.854443,.760875,58,167675,1.2e+07,1.353372,80.84798,34.59072,48.21707
3527,"RRAS16",45149.9,66716.5,1.77391,1.80619,47.9584,39.7063,3.32063,12.4706,4.66072,.487513,.819606,.428575,.356562,1.42742,.058469,.777331,.710303,.853202,.776175,38,93395,6.2e+06,1.502402,38.02914,40.6874,40.71861
3528,"RRAS15",37339.9,52311.9,2.24245,2.08022,43.3202,36.7552,2.96689,12.1897,4.14264,.491898,.727791,.432734,.363762,.367848,.033727,.783538,.717903,.857614,.78194,92,262273,2.0e+07,1.287089,114.1341,35.07795,43.5173
3529,"RRAS14",31114.2,43986.8,1.61333,1.47517,43.5199,38.0855,3.31176,13.7487,4.41017,.485799,.779485,.421976,.345286,.273341,.056143,.77445,.711707,.852263,.767048,57,96116,7.7e+06,1.246821,42.65035,59.30334,44.37383
3530,"RRAS13",24970.7,34963.1,1.9567,1.83782,37.1836,31.7236,3.49916,13.8974,5.178,.47786,.778193,.407487,.349105,.142667,.075975,.769907,.710003,.84689,.759732,113,225746,1.8e+07,1.252118,113.7855,50.05626,50.40422
3531,"RRAS12",21449.6,29924.8,1.83325,1.78985,27.1753,25.6625,3.0347,13.6489,6.05854,.456543,.743435,.368658,.343624,.254677,.106947,.767765,.712468,.845606,.752153,57,143421,1.2e+07,1.213062,74.48728,39.74313,51.9361
3532,"RRAS11",19317.9,27431.8,1.59018,1.56866,21.9251,20.0307,5.52662,13.6719,7.06417,.484403,1.56292,.421145,.39678,.487002,.115566,.763345,.717796,.842453,.736138,28,48288,3.8e+06,1.26372,25.95023,57.98542,53.74054
3533,"RRAS10",19877.7,28353.4,1.63394,1.59672,19.2287,17.4225,4.72216,13.3668,6.35669,.475577,1.02713,.403697,.365813,.200343,.071288,.76671,.722352,.846703,.737756,43,67903,5.7e+06,1.200005,35.0764,63.32563,51.65664
3534,"RRAS1",38442.4,43020.3,2.32657,2.12081,53.6491,44.6166,3.91967,12.7906,3.29231,.497339,1.03549,.447501,.365557,.428987,.024543,.795451,.751639,.857202,.782727,99,162702,1.4e+07,1.190443,74.67137,60.84744,45.89456
4105,"MACRORREGIONAL NORTE",19489.4,28883,1.40887,1.40863,16.8269,16.3194,6.51257,13.1481,8.35269,.479701,1.877,.412467,.390498,.736977,.338559,.733458,.652856,.828078,.730939,69,126991,9.8e+06,1.296542,67.45016,54.33456,53.11413
4106,"MACRORREGIONAL NOROESTE",18879.9,30133.2,1.14608,1.22101,20.3439,19.9173,4.56358,12.9129,8.35408,.449351,1.17234,.35667,.354581,.648425,.151303,.741018,.669407,.832866,.731313,67,125529,9.2e+06,1.361837,66.97546,53.37412,53.35458
4107,"MACRORREGIONAL LESTE",28541.8,39100.3,1.80129,1.75693,29.1664,26.898,6.74634,12.326,4.6575,.509384,2.11951,.471706,.399673,1.13309,.510978,.75337,.670424,.8436,.759601,136,389836,2.7e+07,1.436756,205.0164,34.88647,52.59043
4108,"MACRORREGIAO OESTE",22459.4,36712.5,1.06863,1.16437,15.7803,17.2575,7.39838,12.687,6.92933,.498657,2.37065,.45068,.413541,1.06783,.384128,.740301,.660365,.836427,.736103,60,145725,9.7e+06,1.497868,77.29196,41.17344,53.0396
4210,"SUL",20511.1,29832.5,1.23983,1.27767,17.0325,15.2316,2.93749,11.7267,4.45593,.437977,.825714,.339261,.317003,.781089,.046012,.761556,.688866,.856178,.750251,13,65119,4.9e+06,1.328773,34.43658,19.96345,52.88254
4211,"PLANALTO NORTE E NORDESTE",32047.5,43423.1,1.56239,1.55313,27.2314,23.3151,3.54572,10.4307,3.02266,.466536,.876792,.382641,.337516,.995703,.224453,.780739,.714881,.872782,.763438,22,97693,6.8e+06,1.436119,48.26437,22.51953,49.40412
4212,"MEIO OESTE E SERRA CATARINENSE",23260,34332.7,1.148,1.16321,22.4522,16.0854,7.12665,12.0773,6.39052,.48352,1.83483,.420782,.359279,.641047,.380371,.74077,.650903,.852794,.73368,28,64821,4.6e+06,1.424008,33.97109,43.19588,52.40754
4213,"GRANDE OESTE",26064.2,33941.7,1.13263,1.24444,11.2597,10.6812,5.75412,12.228,6.56702,.463885,1.95717,.390043,.390093,1.76247,.491216,.752869,.672896,.851347,.745844,21,55927,3.9e+06,1.430852,29.72621,37.54895,53.1518
4214,"GRANDE FLORIANOPOLIS",25347.6,35591.8,2.41305,2.25376,30.5866,24.6519,2.00349,11.0033,3.36795,.46711,.554176,.399144,.358004,.269893,.074626,.800788,.733361,.869618,.807125,21,80603,5.7e+06,1.402503,45.00317,26.05362,55.83311
4215,"FOZ DO RIO ITAJAI",36789.9,54015.3,1.48176,1.57367,21.432,20.0585,2.48788,10.0593,3.13664,.452409,.523926,.366321,.319056,.584268,.06564,.783351,.701954,.880507,.778692,27,48907,3.3e+06,1.470581,22.00901,55.20682,45.00176
4216,"ALTO VALE DO ITAJAI",28518.8,39505.2,1.62883,1.58922,22.4248,19.013,1.98575,9.96275,2.95773,.425419,.626094,.321542,.277771,.517777,.03981,.776748,.684708,.878302,.780075,21,70769,5.2e+06,1.353118,35.05775,29.67401,49.53829
4308,"VALES",23722.6,35272.6,1.29174,1.37987,14.7693,15.5619,6.20136,11.8096,5.66917,.460385,2.08154,.385914,.353809,1.01563,.294185,.728373,.620167,.844601,.740428,16,51947,4.5e+06,1.157485,23.98779,30.80062,46.17744
